specObjID,bptclass,oh_p2p5,oh_p16,oh_p50,oh_p84,oh_p97p5,oh_entropy,lgm_tot_p2p5,lgm_tot_p16,lgm_tot_p50,lgm_tot_p84,lgm_tot_p97p5,lgm_fib_p2p5,lgm_fib_p16,lgm_fib_p50,lgm_fib_p84,lgm_fib_p97p5,sfr_tot_p2p5,sfr_tot_p16,sfr_tot_p50,sfr_tot_p84,sfr_tot_p97p5,sfr_tot_entropy,sfr_fib_p2p5,sfr_fib_p16,sfr_fib_p50,sfr_fib_p84,sfr_fib_p97p5,sfr_fib_entropy,specsfr_tot_p2p5,specsfr_tot_p16,specsfr_tot_p50,specsfr_tot_p84,specsfr_tot_p97p5,specsfr_tot_entropy,specsfr_fib_p2p5,specsfr_fib_p16,specsfr_fib_p50,specsfr_fib_p84,specsfr_fib_p97p5,specsfr_fib_entropy
299489676975171584,3,-9999,-9999,-9999,-9999,-9999,-9999,10.12411,10.20277,10.2947,10.38957,10.47627,9.503449,9.585073,9.680753,9.777203,9.85962,-3.005609,-1.085623,-0.5206503,-0.1213531,0.3491023,-5.569178,-4.017472,-2.184563,-1.368503,-0.9309438,-0.476552,-5.766783,-13.45714,-11.45566,-10.87437,-10.45471,-9.965384,-5.592138,-13.75,-11.97073,-11.10751,-10.6406,-10.16897,-5.807676
299489677444933632,3,-9999,-9999,-9999,-9999,-9999,-9999,10.12384,10.20275,10.29471,10.38957,10.47666,9.503641,9.585032,9.680869,9.777284,9.858198,-3.020103,-1.094858,-0.5273424,-0.1285443,0.3406681,-5.570141,-4.014197,-2.184501,-1.368781,-0.9340165,-0.4803492,-5.762042,-13.50833,-11.4375,-10.87671,-10.466,-9.988,-5.572247,-13.69167,-11.94324,-11.11406,-10.6463,-10.1881,-5.784514
299489951853078528,-1,-9999,-9999,-9999,-9999,-9999,-9999,10.94388,11.04244,11.16202,11.28475,11.4207,10.43064,10.52226,10.62249,10.72011,10.82172,-3.212137,-1.758625,-0.3497217,0.4153702,0.9256378,-6.336471,-3.832475,-2.555718,-1.193,-0.4400435,0.02601729,-6.266182,-14.425,-12.95455,-11.56774,-10.80238,-10.27024,-6.323584,-14.54667,-13.275,-11.86868,-11.09632,-10.61563,-6.285115
299489952322840576,-1,-9999,-9999,-9999,-9999,-9999,-9999,11.19884,11.27944,11.36537,11.45325,11.53609,10.68456,10.76398,10.85233,10.94315,11.03366,-3.123024,-2.03294,-0.7723387,-0.02385657,0.4351947,-6.195683,-3.607466,-2.472371,-1.178161,-0.429066,0.02412752,-6.212698,-14.54445,-13.44245,-12.18462,-11.41949,-10.97593,-6.183711,-14.47333,-13.39896,-12.09691,-11.31802,-10.86964,-6.205951
299490226730985472,-1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
299490227200747520,-1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
299490501608892416,-1,-9999,-9999,-9999,-9999,-9999,-9999,11.23174,11.29835,11.37362,11.46669,11.5505,10.68608,10.75677,10.83362,10.9177,11.01449,-3.247588,-2.287578,-1.124918,-0.1884871,0.3837332,-6.293622,-3.797137,-2.79204,-1.557143,-0.6399603,-0.02835163,-6.328177,-14.71905,-13.75373,-12.57257,-11.62681,-11.01739,-6.295079,-14.73684,-13.69815,-12.47381,-11.53544,-10.91071,-6.321564
299490502078654464,3,-9999,-9999,-9999,-9999,-9999,-9999,10.39834,10.4713,10.56586,10.65747,10.75662,9.847287,9.920993,10.0129,10.10516,10.19828,-3.828525,-2.525807,-1.15523,-0.3962821,0.1758006,-6.327092,-4.258443,-2.912149,-1.560026,-0.8718105,-0.3278228,-6.255333,-14.42,-13.15,-11.80385,-11.00511,-10.45,-6.324206,-14.36471,-12.96591,-11.63915,-10.94057,-10.39074,-6.243012
299490776486799360,-1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
299491051364706304,2,-9999,-9999,-9999,-9999,-9999,-9999,9.768107,9.864179,9.958836,10.05915,10.15622,8.930964,9.033199,9.139632,9.245478,9.355179,-2.256147,-0.75934,-0.3182279,0.06601826,0.5112726,-5.357087,-4.140193,-2.287618,-1.402214,-0.9258466,-0.4259301,-5.865621,-12.37143,-10.80238,-10.326,-9.918333,-9.467856,-5.419229,-13.36667,-11.50278,-10.59972,-10.09505,-9.612963,-5.88001