specObjID,plateid,mjd,fiberid,ra,dec,primtarget,sectarget,targettype,spectrotype,subclass,z,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable
299489676975171584,266,51602,1,146.7142,-1.041304,96,False,GALAXY,GALAXY,null,0.02127545,9.121824E-06,False,135.8996,4.085766,38.08261,0.05522422,extra,True
299489677444933632,266,51630,1,146.7142,-1.041304,96,False,GALAXY,GALAXY,STARFORMING,0.02122228,9.465381E-06,False,131.8636,4.193524,39.11062,0.05522422,dr123,True
299489951853078528,266,51602,2,146.9194,-0.9904917,64,False,GALAXY,GALAXY,null,0.2139246,5.23439E-05,False,140.4812,15.03757,6.479208,0.0598347,extra,True
299489952322840576,266,51630,2,146.7441,-0.6521906,96,False,GALAXY,GALAXY,null,0.2037833,3.89048E-05,False,174.1648,13.75203,10.07054,0.08384381,dr123,True
299490226730985472,266,51602,3,146.9023,-0.9849133,0,False,SERENDIPITY_BLUE,QSO,BROADLINE,0.6521814,0.0001330712,False,400,-50,4.567219,0.05873331,extra,False
299490227200747520,266,51630,3,146.9023,-0.9849133,0,False,SERENDIPITY_BLUE,QSO,BROADLINE,0.6524171,8.855115E-05,False,400,-50,6.014781,0.05873331,dr123,False
299490501608892416,266,51602,4,146.8598,-0.8089017,96,False,GALAXY,GALAXY,null,0.1265536,6.185426E-05,False,201.5744,18.03798,9.122138,0.05650809,extra,True
299490502078654464,266,51630,4,146.6286,-0.7651368,64,False,GALAXY,GALAXY,STARFORMING,0.06465632,2.0662E-05,False,123.0363,9.821034,18.07525,0.07447182,dr123,True
299490776486799360,266,51602,5,146.7634,-0.8104331,32,False,GALAXY,GALAXY,null,0.4486449,0.0001679451,False,240.9059,69.59811,2.452963,0.06082058,extra,True
299491051364706304,266,51602,6,146.9639,-0.5450026,64,False,GALAXY,GALAXY,STARBURST,0.05598787,1.141557E-05,False,47.05508,38.03062,5.25215,0.1142752,extra,True