specobjid,dr8objid,dr7objid,ra,dec
323189382297184256,1237648702966268030,587722981741363294,182.9253,-1.092357
323189932052998144,1237648702966268062,587722981741363323,182.9701,-1.219537
323189657175091200,1237648702966333581,587722981741428877,183.0286,-1.072705
323169041332070400,1237648702966464577,587722981741559888,183.4381,-1.238414
323171790111139840,1237648702966530213,587722981741625481,183.474,-1.231429
323167941820442624,1237648702966530219,587722981741625484,183.4778,-1.084604
323167392064628736,1237648702966530252,587722981741625520,183.5262,-1.164011
323168491576256512,1237648702966530271,587722981741625545,183.5668,-1.135895
323155847192537088,1237648702966661167,587722981741756545,183.826,-1.109849
323144577198352384,1237648702966661296,587722981741756579,183.9019,-1.173982